Cb,L,B,T,GMT,Wt,Disp,Excess
[0.52056138],[32.08592674],[11.68189694],[4.00108089],[2.80203662],[249.28299429],[780.68752273],[531.40452844]
[0.5741472],[26.93916017],[5.87715692],[4.91146603],[-0.27554038],[158.58013487],[446.46326956],[287.88313469]
[0.39295533],[32.48074396],[4.19113394],[3.9095488],[0.08025781],[153.37997751],[209.13529401],[55.7553165]
[0.37062874],[39.77778082],[3.61154025],[4.71588145],[-0.1677515],[170.24301964],[251.09321893],[80.85019929]
[0.38975188],[39.21117432],[10.04619334],[3.02498034],[3.81740077],[253.09190721],[464.43201943],[211.34011221]
[0.4179477],[25.43874854],[6.53213824],[2.33249522],[1.8689604],[145.18773647],[161.99209148],[16.804355]
[0.55175939],[41.79347067],[9.74032697],[3.98034216],[1.61646453],[279.68964731],[894.03003772],[614.34039041]
[0.4052413],[49.01830929],[8.92443345],[2.32082057],[3.88641724],[276.12378435],[411.42838667],[135.30460231]
[0.56963912],[34.54781375],[10.0278646],[4.78862453],[1.11451346],[249.49688023],[945.01701259],[695.52013236]
[0.38189199],[34.2456987],[3.83083238],[4.61306345],[-0.13678666],[156.81481483],[231.11554457],[74.30072975]
[0.50699786],[35.07417489],[11.35067671],[3.72976208],[2.97485837],[260.27329172],[752.82923378],[492.55594205]
[0.39145221],[31.94557474],[8.17788042],[3.12145884],[2.29749135],[190.62225413],[319.21833011],[128.59607598]
[0.31368988],[30.65295465],[9.8540385],[2.00806187],[6.97107363],[188.92016132],[190.26731969],[1.34715837]
[0.55752603],[28.59222746],[6.373979],[4.45378194],[0.0563131],[167.29672304],[452.5355697],[285.23884666]
[0.567013],[31.98777294],[10.13148218],[3.93450326],[1.78405],[225.33475228],[723.00268804],[497.66793576]
[0.37781789],[35.04667025],[7.8083375],[2.65165895],[2.64343035],[194.2093871],[274.16090629],[79.95151919]
[0.50565057],[35.56392301],[5.38037237],[4.07361784],[0.05054546],[177.92012367],[394.14205767],[216.221934]
[0.53749513],[41.95168964],[4.9597325],[3.20161939],[0.19117393],[188.50624058],[358.0568172],[169.55057662]
[0.40740543],[43.38007586],[5.52723523],[2.18751985],[1.41321046],[191.65671501],[213.68649166],[22.02977665]
[0.36637089],[44.40254246],[11.90820004],[4.59203272],[3.548016],[359.17640063],[889.56951932],[530.39311869]
[0.52020786],[34.08936628],[9.22819069],[4.08402747],[1.42650431],[225.80604626],[668.34553698],[442.53949073]
[0.46440503],[27.46419549],[8.90579192],[2.68439675],[2.86208489],[174.63598135],[304.91798851],[130.28200715]
[0.43303909],[40.68224382],[3.7039551],[3.50853147],[-0.03961533],[169.09749624],[228.94074569],[59.84324945]
[0.43506885],[38.7713202],[11.72680324],[3.74346084],[3.72933091],[293.31729572],[740.49394857],[447.17665284]
[0.47305684],[49.27968354],[11.01769316],[4.29688443],[2.41588289],[371.1867404],[1103.63530874],[732.44856834]
[0.42865365],[42.26244714],[3.5662134],[3.6149238],[-0.09037569],[172.44954147],[233.54342191],[61.09388044]
[0.5134274],[43.17961554],[3.21574206],[2.34597865],[0.05076849],[163.82611185],[167.24882436],[3.42271252]
[0.48151909],[48.96421171],[11.74122625],[2.04334578],[6.97082633],[326.82435726],[565.64974446],[238.82538719]
[0.57694455],[30.76531654],[9.72740749],[2.19481076],[3.72312774],[191.12512653],[378.95675142],[187.83162488]
[0.36401629],[46.91534723],[3.85693662],[3.17033326],[0.27448985],[188.66302307],[208.82532656],[20.16230349]
[0.47380096],[45.04387791],[7.48390459],[4.4116308],[0.69175696],[258.40480698],[704.62671891],[446.22191193]
[0.40254199],[41.15458026],[5.37012837],[4.7004077],[0.15360064],[202.52541398],[418.16681483],[215.64140085]
[0.46141827],[26.27074817],[9.58877204],[2.64564052],[3.46562287],[175.3578857],[307.51128096],[132.15339526]
[0.57775285],[47.72560387],[6.30239138],[3.62104113],[0.34720206],[238.87139075],[629.26322856],[390.39183781]
[0.42354832],[34.73816469],[8.06068147],[4.28819743],[1.20397999],[213.72732197],[508.57659326],[294.84927129]
[0.50020692],[26.64755085],[3.94327535],[2.02209607],[0.47098872],[129.3596728],[106.28350955],[-23.07616325]
[0.32419529],[48.58671437],[10.10486525],[3.00319345],[4.62858962],[313.89141317],[478.01119915],[164.11978597]
[0.42117571],[25.58780762],[6.32980838],[2.83180541],[1.29427259],[147.48837279],[193.17475307],[45.68638028]
[0.52269907],[49.78577634],[8.09671936],[4.50891344],[0.6940585],[301.65629251],[950.03148586],[648.37519335]
[0.46960021],[32.65308114],[3.4387226],[4.42532383],[-0.3975884],[147.67869466],[233.34293313],[85.66423847]
[0.47103175],[25.65361598],[8.59578334],[4.36931769],[1.1716624],[178.24638548],[453.83486013],[275.58847465]
[0.54673623],[27.16598495],[5.14757462],[3.35155889],[0.16690174],[145.47447013],[256.24347386],[110.76900373]
[0.42933857],[35.38908171],[5.80676381],[3.87692557],[0.47779074],[181.53982808],[342.05096893],[160.51114085]
[0.52441865],[39.0342401],[10.79218391],[2.20695821],[5.00718103],[248.18104141],[487.55914041],[239.378099]
[0.40118887],[37.65977197],[11.51410456],[3.26790646],[4.56881602],[272.49853362],[568.49461223],[295.99607862]
[0.33556275],[33.93635807],[9.17750747],[4.4962016],[2.20396373],[228.46472899],[469.90438649],[241.4396575]
[0.34240988],[40.59318906],[4.75272431],[3.34251554],[0.60732548],[181.81058784],[220.80836215],[38.99777432]
[0.37385307],[40.94286391],[10.45806289],[2.94466525],[4.46733805],[269.38748741],[471.37478817],[201.98730076]
[0.56838476],[48.33254875],[6.90926795],[2.85580603],[1.07505142],[243.47742389],[542.05439047],[298.57696658]
[0.36851654],[47.19963679],[11.58461183],[3.31227284],[4.92641408],[345.68513817],[667.42616944],[321.74103128]
[0.35948803],[39.83580577],[5.77820502],[4.2774123],[0.58424249],[200.98299025],[353.94199647],[152.95900623]
[0.40803052],[33.38619479],[5.72699744],[4.69048774],[0.23974779],[178.16827378],[365.93552176],[187.76724797]
[0.39485692],[46.04688641],[11.35237646],[3.06771528],[4.83976162],[325.40879674],[633.20138114],[307.79258441]
[0.38442672],[45.26662306],[8.64767892],[2.28672106],[3.87098001],[249.47897028],[344.11564213],[94.63667185]
[0.35139881],[43.68701157],[5.9170121],[2.0502449],[2.10199366],[196.29796487],[186.23479565],[-10.06316922]
[0.41563349],[46.54568978],[8.9883992],[4.25596276],[1.70631404],[298.48763314],[740.06553574],[441.57790259]
[0.51909208],[39.97460247],[8.59898913],[2.81889905],[2.20682498],[230.61390221],[502.98551229],[272.37161008]
[0.48693506],[28.40188163],[4.10738022],[4.33023554],[-0.28812528],[143.38653876],[245.97704752],[102.59050876]
[0.40023743],[43.76431582],[10.25586861],[2.92129478],[4.06110758],[283.26553327],[524.79014445],[241.52461119]
[0.51270709],[39.08356728],[9.41283309],[4.29839605],[1.39621292],[260.73623956],[810.75624724],[550.02000769]
[0.32302029],[42.56098758],[3.49639825],[4.32184172],[0.03310335],[175.40888113],[207.74532127],[32.33644013]
[0.49299542],[34.28310407],[8.84823282],[3.74631357],[1.60591107],[217.38560947],[560.2523583],[342.86674883]
[0.56751133],[28.4618889],[6.46180875],[4.73443697],[-0.05195457],[169.30320622],[494.15215445],[324.84894823]
[0.49423308],[47.09814663],[11.23997853],[2.18211355],[5.79439441],[307.26088085],[570.9242019],[263.66332105]
[0.46741273],[38.41033205],[6.1493437],[3.01919718],[0.91342413],[190.44299582],[333.32572982],[142.882734]
[0.53268837],[32.70321607],[10.64119991],[4.51828689],[1.7236337],[244.33098423],[837.58344668],[593.25246246]
[0.49927865],[36.21259664],[8.66630422],[3.48928081],[1.68763258],[221.61112887],[546.72951329],[325.11838442]
[0.53299794],[33.20299356],[7.31838754],[4.62261292],[0.33930687],[198.70926313],[598.69510083],[399.9858377]
[0.40298587],[32.56301762],[11.24904755],[3.25417874],[4.3458588],[234.88332792],[480.36529537],[245.48196745]
[0.40234069],[48.61598654],[9.44156298],[2.0008249],[5.20631039],[276.21801251],[369.50986189],[93.29184938]
[0.33768943],[46.35652565],[7.01502928],[3.48332813],[1.6400199],[244.19662401],[382.51830633],[138.32168232]
[0.44666007],[47.3957119],[4.31625273],[3.93175486],[-0.03763844],[203.0231729],[359.26050781],[156.23733491]
[0.38668201],[41.86499158],[5.05915186],[4.18351284],[0.27071187],[196.68956196],[342.62874786],[145.93918591]
[0.36966565],[25.64774815],[7.04774669],[3.78014685],[1.29169073],[159.41532241],[252.59066439],[93.17534198]
[0.54129489],[39.12375657],[8.71617485],[3.83694939],[1.28150967],[242.39155166],[708.24983552],[465.85828386]
[0.48626094],[25.72921614],[3.96150938],[4.10848913],[-0.25866937],[135.05657672],[203.62859773],[68.57202102]
[0.57531259],[46.88977336],[10.56487299],[3.33756765],[2.57613482],[320.39220286],[951.20992197],[630.81771911]
[0.5790184],[49.53162549],[6.44185718],[4.86787793],[-0.13500819],[264.27107231],[899.34373405],[635.07266174]
[0.41640225],[36.44387391],[4.26915373],[3.85784804],[0.04965874],[165.40613819],[249.93352619],[84.527388]
[0.52315477],[41.66321432],[8.39855775],[2.42186237],[2.55568267],[229.56431722],[443.3402265],[213.77590929]
[0.55828882],[35.32916987],[9.26558709],[3.67296294],[1.60291736],[228.29189799],[671.24622435],[442.95432637]
[0.51558532],[33.50986406],[7.25408278],[3.28764743],[1.08328791],[187.90590641],[412.04149251],[224.13558609]
[0.53130056],[49.39726899],[5.24267625],[4.89328632],[-0.30962778],[236.41683027],[673.28180226],[436.86497199]
[0.52962383],[38.07082669],[7.6413049],[4.92587068],[0.32253069],[229.86117516],[758.94509212],[529.08391696]
[0.48452875],[26.20857807],[3.65627076],[3.21503553],[-0.07351977],[131.18674622],[149.27501965],[18.08827343]
[0.35857865],[40.01645088],[6.981001],[4.58055366],[0.9339351],[224.49887437],[458.83725569],[234.33838132]
[0.45096909],[41.46264887],[8.97387303],[4.87727326],[1.14297053],[274.34728079],[818.39097116],[544.04369037]
[0.48047556],[30.71511399],[10.86037145],[3.27634943],[3.37459574],[219.11817086],[525.11971583],[306.00154497]
[0.34706645],[32.63517847],[9.77313751],[3.51467619],[3.36177539],[218.60817888],[389.06122881],[170.45304993]
[0.42497998],[37.58867537],[3.28586279],[4.35035973],[-0.30526321],[158.44747375],[228.34951261],[69.90203886]
[0.32512005],[48.45365769],[8.19497943],[4.03028983],[2.03753637],[288.36974851],[520.30076356],[231.93101505]
[0.56015647],[42.83638669],[10.54866771],[2.43351562],[4.02344277],[272.4187766],[615.96201829],[343.54324169]
[0.32899883],[44.12791474],[6.43563487],[4.37320031],[0.95332875],[232.02764831],[408.60015788],[176.57250957]
