Cb,L,B,T,GMT,Wt,Disp,Excess
[0.49385863],[34.95066115],[5.3069467],[2.98321647],[0.50966419],[264.56967038],[273.26722157],[8.69755119]
[0.43508505],[39.13973564],[9.41328975],[4.87366255],[1.41714831],[842.56335196],[781.24801644],[-61.31533552]
[0.34503577],[29.40189229],[9.53269355],[2.50309139],[4.73432981],[229.25281645],[242.06485626],[12.81203981]
[0.3427974],[47.53037108],[6.73914179],[2.03431397],[2.87994713],[244.24873027],[223.3733183],[-20.87541197]
[0.48375971],[38.24656222],[8.42143838],[3.97582716],[1.28032059],[600.16888973],[619.49224305],[19.32335332]
[0.58216152],[26.52723985],[4.92493508],[2.49263737],[0.44078096],[192.94355661],[189.58115801],[-3.3623986]
[0.31862114],[28.70560198],[5.29227857],[3.9579941],[0.69799742],[195.44666127],[191.58393511],[-3.86272616]
[0.40052216],[34.61842134],[7.60583949],[2.36458321],[2.70964811],[264.25831807],[249.36503945],[-14.89327862]
[0.41912685],[43.37682746],[3.76368662],[3.52024019],[0.00446855],[219.28409654],[240.8735009],[21.58940436]
[0.37270204],[31.67043934],[4.0531678],[3.87372822],[0.11211552],[183.44047737],[185.32737972],[1.88690235]
[0.33025722],[44.66503842],[7.75286119],[2.25129367],[3.58253635],[254.02754169],[257.46262106],[3.43507937]
[0.47943638],[39.1819458],[9.15414294],[4.56977059],[1.25775116],[819.83896471],[785.83085533],[-34.00810939]
[0.47326732],[34.83618947],[6.94432475],[4.05325343],[0.66291839],[496.28903712],[464.05658409],[-32.23245303]
[0.49878253],[33.10444622],[5.91223222],[3.08398752],[0.68070347],[321.78092515],[301.06596272],[-20.71496243]
[0.50491169],[36.77708635],[4.1467042],[2.45984025],[0.31464562],[187.47646605],[189.40991382],[1.93344776]
[0.47997728],[37.47274145],[9.0585322],[2.97471867],[2.51388473],[444.4613407],[484.66301469],[40.20167399]
[0.41083714],[48.35972295],[4.56803115],[2.79909309],[0.53331192],[233.24462585],[254.03870899],[20.79408314]
[0.37496703],[33.94957512],[5.41456923],[2.51211445],[1.21894077],[187.93439157],[173.15329224],[-14.78109933]
[0.46460447],[35.39444554],[4.71212497],[2.8348427],[0.43088655],[227.33313765],[219.66672093],[-7.66641672]
[0.46250828],[35.18192877],[11.2524696],[2.64848392],[4.90927159],[509.87558001],[484.93591112],[-24.93966889]
[0.47680088],[36.52209231],[4.67623469],[3.75900408],[0.03527487],[286.11687663],[306.09891732],[19.98204069]
[0.46124438],[35.56657636],[10.01964025],[2.95186494],[3.33720692],[501.42098678],[485.20108484],[-16.21990194]
[0.32988073],[28.21861019],[10.27377528],[2.69704391],[5.31145023],[241.41279382],[257.93522149],[16.52242766]
[0.42465835],[37.85232858],[8.60039069],[3.0106637],[2.48467402],[380.53006461],[416.21017344],[35.68010883]
[0.48594824],[33.60979493],[8.07342686],[2.85114807],[1.99437912],[403.82116185],[375.95300643],[-27.86815542]
[0.31419507],[48.48979224],[5.09761806],[2.93281186],[1.06583054],[234.23785657],[227.77244412],[-6.46541245]
[0.40468018],[37.56092981],[8.22775423],[2.33493652],[3.23937179],[284.07321027],[292.01465899],[7.94144872]
[0.43164164],[41.40867196],[3.87578257],[2.60146522],[0.30824118],[197.54619016],[180.21546924],[-17.33072092]
[0.57576755],[25.05322186],[8.64772465],[4.94765787],[0.49292675],[609.41075027],[617.18062006],[7.76986978]
[0.43706314],[35.38669375],[5.15623284],[2.55663307],[0.83732509],[220.36029494],[203.88491196],[-16.47538298]
[0.35550623],[31.56644015],[5.21185867],[3.08253552],[0.86119349],[187.91899168],[180.29079236],[-7.62819933]
[0.4353633],[39.39291763],[5.51247599],[2.68720713],[0.9293088],[237.94913252],[254.04919368],[16.10006116]
[0.3656882],[36.29774087],[9.40854536],[2.14240483],[5.19460223],[243.41469144],[267.55592327],[24.14123183]
[0.38698157],[41.71591634],[5.8668622],[2.00147534],[1.92788932],[208.53942317],[189.56065392],[-18.97876925]
[0.3892984],[38.23240343],[5.027852],[2.47640201],[0.98159471],[194.23207507],[185.31810736],[-8.91396771]
