Cb,L,B,T,GMT,Wt,Disp,Excess
[0.52561768],[29.15323713],[9.50704543],[2.46918009],[3.30010665],[289.65200135],[359.71213472],[70.06013337]
[0.4398674],[28.68004078],[3.09210002],[3.20151342],[-0.11704086],[190.49978929],[124.88503597],[-65.61475331]
[0.4301479],[40.29685646],[8.75886081],[3.20024855],[2.35525156],[407.43345445],[485.87024892],[78.43679447]
[0.33440801],[42.6006104],[5.70269828],[2.09097497],[1.99061886],[209.47401991],[169.87196881],[-39.6020511]
[0.48852015],[40.13378115],[5.5799532],[2.86134419],[0.69746352],[262.00313399],[313.03523375],[51.03209976]
[0.42460511],[48.88886597],[6.58793542],[3.91161166],[0.77198164],[361.59443436],[534.93405324],[173.33961887]
[0.55870058],[32.29915555],[11.59449237],[2.19053719],[5.6149305],[323.81847444],[458.3240604],[134.50558595]
[0.51891739],[28.84322047],[11.7905562],[2.93142289],[4.37048171],[406.09793544],[517.3146101],[111.21667465]
[0.5741342],[39.53126041],[5.79391474],[3.82069404],[0.10592574],[284.58964487],[502.42175972],[217.83211485]
[0.51706591],[26.11792281],[4.6674431],[2.64164975],[0.39019539],[186.14155979],[166.50941849],[-19.6321413]
[0.58852632],[29.2601593],[8.62714839],[2.65552186],[2.1377215],[300.06505594],[394.51155555],[94.44649961]
[0.36496831],[32.34366436],[8.60520896],[2.73950639],[3.25809288],[235.03922176],[278.27751921],[43.23829745]
[0.45607676],[34.62903757],[8.36873537],[4.06443684],[1.32156122],[624.72570214],[537.20318774],[-87.5225144]
[0.58085611],[32.0490677],[11.20768777],[2.47701327],[4.37638654],[350.88795443],[516.80691832],[165.9189639]
[0.32926374],[37.31420313],[5.38096163],[4.00211351],[0.66748702],[219.244332],[264.58631637],[45.34198437]
[0.44301744],[33.90769243],[7.18053236],[4.90764453],[0.49028356],[715.94610168],[529.35717175],[-186.58892992]
[0.58516435],[28.31784584],[7.30846833],[4.82943878],[0.09962826],[484.34224847],[584.87237424],[100.53012577]
[0.41576377],[39.48731699],[4.28906807],[2.19591792],[0.71032458],[190.95591104],[154.62628131],[-36.32962973]
[0.56312441],[32.69011642],[7.99595511],[3.42472832],[1.17190197],[335.07701131],[504.10068726],[169.02367595]
[0.44676231],[28.33594886],[6.47570395],[4.42181447],[0.43042752],[682.33358433],[362.49480644],[-319.83877788]
[0.31023343],[32.03126931],[8.19396226],[4.46312197],[1.88381705],[272.04494288],[363.40881041],[91.36386753]
[0.55824561],[35.46765125],[3.71354398],[4.84732102],[-0.63695075],[242.40561759],[356.4085385],[114.00292091]
[0.32209673],[27.52537428],[5.68458196],[2.94951336],[1.32956365],[180.90532117],[148.65120844],[-32.25411273]
[0.50379038],[25.54875141],[9.6916766],[2.19648609],[4.11761643],[258.25265668],[273.99770478],[15.7450481]
[0.54713504],[38.46290971],[8.83253467],[4.6795104],[0.79263625],[465.16785102],[869.80606414],[404.63821312]
[0.50574496],[28.43748748],[5.16568043],[2.16179095],[0.92452582],[182.1249159],[160.60683337],[-21.51808254]
[0.5699331],[34.80204668],[6.81047251],[3.49336889],[0.61408613],[287.92001428],[471.90041657],[183.98040229]
[0.37744832],[25.3755315],[3.57668143],[2.3593919],[0.42409991],[147.90660873],[80.82635329],[-67.08025543]
[0.55906748],[41.0604521],[11.84790313],[2.90432114],[4.19664676],[421.73829033],[789.90358588],[368.16529555]
[0.55325341],[38.28154324],[3.23985329],[2.97629086],[-0.20909632],[186.51939732],[204.22751501],[17.7081177]
[0.58131575],[46.98252982],[8.02603281],[3.00108091],[1.46704699],[340.00930517],[657.85036997],[317.8410648]
[0.57950159],[34.58533101],[9.33777077],[3.73423497],[1.5100197],[398.28082656],[698.86198381],[300.58115725]
[0.38869093],[27.79958895],[8.16582073],[4.91734906],[1.11034386],[307.01442195],[433.88402081],[126.86959886]
[0.57049356],[29.48025989],[9.09080247],[3.28900925],[1.80126996],[374.55102807],[502.86264064],[128.31161257]
[0.46323596],[45.12445338],[7.13871033],[3.83022778],[0.88902655],[398.29578559],[571.55572261],[173.25993702]
[0.51922431],[28.77335488],[10.27146484],[3.69147734],[2.29508319],[451.05072145],[566.47155657],[115.42083512]
[0.34596579],[30.01681244],[7.5127763],[3.64813578],[1.75667805],[234.85119374],[284.62246636],[49.77127262]
[0.54223177],[30.46886215],[5.28914974],[3.46220891],[0.1734261],[242.68221217],[302.53827891],[59.85606674]
[0.41943909],[37.75915957],[3.49242172],[2.78309837],[0.1458723],[186.74456196],[153.9382202],[-32.80634176]
[0.35489414],[45.71292089],[7.74389452],[3.77715632],[1.74063398],[301.45539552],[474.52837732],[173.0729818]
[0.41636881],[25.19221946],[8.80221813],[3.9127071],[1.84584513],[937.63522036],[361.25517958],[-576.38004078]
[0.44106253],[38.13285979],[7.30143935],[4.872781],[0.55302447],[606.50712111],[598.39081336],[-8.11630775]
[0.47177939],[28.40258464],[5.61350677],[4.12635313],[0.18920603],[519.307429],[310.38267237],[-208.92475663]
[0.50870068],[35.90695434],[8.5090801],[3.84574044],[1.30493774],[362.91273785],[597.72781457],[234.81507673]
[0.33812503],[49.56717017],[3.1693347],[2.02829673],[0.49722461],[194.70368292],[107.73852776],[-86.96515516]
[0.47243672],[37.28510289],[11.5194881],[3.01138927],[4.35532866],[612.71291431],[611.05326252],[-1.65965179]
[0.46348944],[48.6230271],[10.98862527],[3.81270895],[2.92980732],[670.35622248],[944.18882374],[273.83260126]
[0.3638583],[46.6690376],[7.02739476],[3.79648872],[1.30370821],[293.36518423],[453.04108823],[159.67590399]
[0.40167354],[31.36521741],[4.63319664],[3.19672398],[0.41855412],[232.94298082],[186.59817533],[-46.34480549]
[0.35891637],[34.39388435],[8.43543221],[3.3862622],[2.4407612],[252.49614525],[352.61632374],[100.12017848]
[0.37656373],[26.97039091],[5.4795321],[2.51574882],[1.24586959],[172.26398596],[140.0027221],[-32.26126386]
[0.35583113],[33.48216985],[11.53226273],[4.68360875],[3.31862874],[389.51959872],[643.50610397],[253.98650526]
[0.53032835],[32.09909945],[4.89862171],[2.47584969],[0.54020706],[193.993749],[206.45997646],[12.46622746]
[0.35269619],[29.88963333],[7.78967613],[3.08584587],[2.33705325],[223.67629637],[253.40488878],[29.72859241]
[0.38621605],[35.6217672],[8.453686],[4.81308117],[1.29913623],[317.78753254],[559.7770398],[241.98950727]
[0.52110085],[34.83042832],[4.94348798],[4.71869992],[-0.29871362],[270.93449707],[423.38594714],[152.45145006]
[0.50283412],[32.00058612],[7.48584843],[4.6850947],[0.4644787],[397.53063765],[564.34161045],[166.8109728]
[0.57121628],[46.7419027],[4.59529318],[3.13181442],[0.0475309],[243.31042241],[384.25206164],[140.94163923]
[0.31017779],[45.86520252],[9.84280324],[4.22010715],[3.08138458],[367.10425924],[590.93034885],[223.82608961]
[0.54431253],[34.74675235],[6.33676209],[2.56633974],[1.08979757],[227.36201857],[307.57009421],[80.20807564]
